card_id,card_name,expansion,collection_no,table_page,image_page,width,height,format,image_path,id_only_path
67,Pineco,TEF,2,3,106,660,920,jpg,named/0067_Pineco_TEF_2.jpg,by_id/67.jpg
68,Seedot,TEF,3,3,107,660,920,jpg,named/0068_Seedot_TEF_3.jpg,by_id/68.jpg
69,Nuzleaf,TEF,4,3,108,660,920,jpg,named/0069_Nuzleaf_TEF_4.jpg,by_id/69.jpg
70,Shiftry,TEF,5,3,109,660,920,jpg,named/0070_Shiftry_TEF_5.jpg,by_id/70.jpg
71,Deerling,TEF,16,3,110,660,920,jpg,named/0071_Deerling_TEF_16.jpg,by_id/71.jpg
72,Sawsbuck,TEF,17,3,111,660,920,jpg,named/0072_Sawsbuck_TEF_17.jpg,by_id/72.jpg
73,Rellor,TEF,23,3,112,660,920,jpg,named/0073_Rellor_TEF_23.jpg,by_id/73.jpg
74,Rabsca,TEF,24,3,113,660,920,jpg,named/0074_Rabsca_TEF_24.jpg,by_id/74.jpg
75,Iron Leaves ex,TEF,25,3,114,660,920,jpg,named/0075_Iron_Leaves_ex_TEF_25.jpg,by_id/75.jpg
76,Slugma,TEF,28,3,115,660,920,jpg,named/0076_Slugma_TEF_28.jpg,by_id/76.jpg
77,Litten,TEF,32,3,116,660,920,jpg,named/0077_Litten_TEF_32.jpg,by_id/77.jpg
78,Torracat,TEF,33,3,117,660,920,jpg,named/0078_Torracat_TEF_33.jpg,by_id/78.jpg
79,Incineroar ex,TEF,34,3,118,660,920,jpg,named/0079_Incineroar_ex_TEF_34.jpg,by_id/79.jpg
80,Iron Crown ex,TEF,81,3,119,660,920,jpg,named/0080_Iron_Crown_ex_TEF_81.jpg,by_id/80.jpg
81,Drilbur,TEF,85,3,120,660,920,jpg,named/0081_Drilbur_TEF_85.jpg,by_id/81.jpg
82,Excadrill,TEF,86,3,121,660,920,jpg,named/0082_Excadrill_TEF_86.jpg,by_id/82.jpg
83,Farigiraf ex,TEF,108,3,122,660,920,jpg,named/0083_Farigiraf_ex_TEF_108.jpg,by_id/83.jpg
84,Scizor ex,TEF,111,3,123,660,920,jpg,named/0084_Scizor_ex_TEF_111.jpg,by_id/84.jpg
85,Beldum,TEF,113,3,124,660,920,jpg,named/0085_Beldum_TEF_113.jpg,by_id/85.jpg
86,Metang,TEF,114,3,125,660,920,jpg,named/0086_Metang_TEF_114.jpg,by_id/86.jpg
87,Miraidon,TEF,121,3,126,660,920,jpg,named/0087_Miraidon_TEF_121.jpg,by_id/87.jpg
88,Volbeat,TWM,9,3,127,660,920,jpg,named/0088_Volbeat_TWM_9.jpg,by_id/88.jpg
89,Grookey,TWM,14,3,128,660,920,jpg,named/0089_Grookey_TWM_14.jpg,by_id/89.jpg
90,Thwackey,TWM,15,3,129,660,920,jpg,named/0090_Thwackey_TWM_15.jpg,by_id/90.jpg
91,Rillaboom,TWM,16,3,130,660,920,jpg,named/0091_Rillaboom_TWM_16.jpg,by_id/91.jpg
92,Applin,TWM,17,3,131,660,920,jpg,named/0092_Applin_TWM_17.jpg,by_id/92.jpg
93,Dipplin,TWM,18,3,132,660,920,jpg,named/0093_Dipplin_TWM_18.jpg,by_id/93.jpg
94,Sinistcha,TWM,22,3,133,660,920,jpg,named/0094_Sinistcha_TWM_22.jpg,by_id/94.jpg
95,Teal Mask Ogerpon,TWM,24,3,134,660,920,jpg,named/0095_Teal_Mask_Ogerpon_TWM_24.jpg,by_id/95.jpg
96,Teal Mask Ogerpon ex,TWM,25,3,135,660,920,jpg,named/0096_Teal_Mask_Ogerpon_ex_TWM_25.jpg,by_id/96.jpg
97,Litwick,TWM,36,3,136,660,920,jpg,named/0097_Litwick_TWM_36.jpg,by_id/97.jpg
98,Chandelure,TWM,38,3,137,660,920,jpg,named/0098_Chandelure_TWM_38.jpg,by_id/98.jpg
99,Hearthflame Mask Ogerpon ex,TWM,40,3,138,660,920,jpg,named/0099_Hearthflame_Mask_Ogerpon_ex_TWM_40.jpg,by_id/99.jpg
100,Goldeen,TWM,44,4,139,660,920,jpg,named/0100_Goldeen_TWM_44.jpg,by_id/100.jpg
101,Jynx,TWM,46,4,140,660,920,jpg,named/0101_Jynx_TWM_46.jpg,by_id/101.jpg
102,Milotic,TWM,50,4,141,660,920,jpg,named/0102_Milotic_TWM_50.jpg,by_id/102.jpg
103,Snorunt,TWM,51,4,142,660,920,jpg,named/0103_Snorunt_TWM_51.jpg,by_id/103.jpg
104,Froslass,TWM,53,4,143,660,920,jpg,named/0104_Froslass_TWM_53.jpg,by_id/104.jpg
105,Finizen,TWM,59,4,144,660,920,jpg,named/0105_Finizen_TWM_59.jpg,by_id/105.jpg
106,Palafin,TWM,60,4,145,660,920,jpg,named/0106_Palafin_TWM_60.jpg,by_id/106.jpg
107,Palafin ex,TWM,61,4,146,660,920,jpg,named/0107_Palafin_ex_TWM_61.jpg,by_id/107.jpg
108,Wellspring Mask Ogerpon ex,TWM,64,4,147,660,920,jpg,named/0108_Wellspring_Mask_Ogerpon_ex_TWM_64.jpg,by_id/108.jpg
109,Abra,TWM,80,4,148,660,920,jpg,named/0109_Abra_TWM_80.jpg,by_id/109.jpg
110,Slurpuff,TWM,90,4,149,660,920,jpg,named/0110_Slurpuff_TWM_90.jpg,by_id/110.jpg
111,Sandygast,TWM,91,4,150,660,920,jpg,named/0111_Sandygast_TWM_91.jpg,by_id/111.jpg
112,Munkidori,TWM,95,4,151,660,920,jpg,named/0112_Munkidori_TWM_95.jpg,by_id/112.jpg
113,Timburr,TWM,103,4,152,660,920,jpg,named/0113_Timburr_TWM_103.jpg,by_id/113.jpg
114,Gurdurr,TWM,104,4,153,660,920,jpg,named/0114_Gurdurr_TWM_104.jpg,by_id/114.jpg
115,Conkeldurr,TWM,105,4,154,660,920,jpg,named/0115_Conkeldurr_TWM_105.jpg,by_id/115.jpg
116,Okidogi,TWM,111,4,155,660,920,jpg,named/0116_Okidogi_TWM_111.jpg,by_id/116.jpg
117,Cornerstone Mask Ogerpon ex,TWM,112,4,156,660,920,jpg,named/0117_Cornerstone_Mask_Ogerpon_ex_TWM_112.jpg,by_id/117.jpg
118,Heatran,TWM,123,4,157,660,920,jpg,named/0118_Heatran_TWM_123.jpg,by_id/118.jpg
119,Dreepy,TWM,128,4,158,660,920,jpg,named/0119_Dreepy_TWM_128.jpg,by_id/119.jpg
120,Drakloak,TWM,129,4,159,660,920,jpg,named/0120_Drakloak_TWM_129.jpg,by_id/120.jpg
121,Dragapult ex,TWM,130,4,160,660,920,jpg,named/0121_Dragapult_ex_TWM_130.jpg,by_id/121.jpg
122,Tatsugiri,TWM,131,4,161,660,920,jpg,named/0122_Tatsugiri_TWM_131.jpg,by_id/122.jpg
123,Farfetch'd,TWM,132,4,162,660,920,jpg,named/0123_Farfetch'd_TWM_132.jpg,by_id/123.jpg
124,Chansey,TWM,133,4,163,660,920,jpg,named/0124_Chansey_TWM_133.jpg,by_id/124.jpg
125,Blissey ex,TWM,134,4,164,660,920,jpg,named/0125_Blissey_ex_TWM_134.jpg,by_id/125.jpg
126,Galvantula,SFA,2,4,165,660,920,jpg,named/0126_Galvantula_SFA_2.jpg,by_id/126.jpg
127,Rowlet,SFA,3,4,166,660,920,jpg,named/0127_Rowlet_SFA_3.jpg,by_id/127.jpg
128,Dartrix,SFA,4,4,167,660,920,jpg,named/0128_Dartrix_SFA_4.jpg,by_id/128.jpg
129,Decidueye,SFA,5,4,168,660,920,jpg,named/0129_Decidueye_SFA_5.jpg,by_id/129.jpg
130,Revavroom ex,SFA,15,4,169,660,920,jpg,named/0130_Revavroom_ex_SFA_15.jpg,by_id/130.jpg
131,Duskull,SFA,18,4,170,660,920,jpg,named/0131_Duskull_SFA_18.jpg,by_id/131.jpg
132,Dusclops,SFA,19,4,171,660,920,jpg,named/0132_Dusclops_SFA_19.jpg,by_id/132.jpg
133,Dusknoir,SFA,20,5,172,660,920,jpg,named/0133_Dusknoir_SFA_20.jpg,by_id/133.jpg
134,Sylveon,SFA,22,5,173,660,920,jpg,named/0134_Sylveon_SFA_22.jpg,by_id/134.jpg
135,Bloodmoon Ursaluna,SFA,25,5,174,660,920,jpg,named/0135_Bloodmoon_Ursaluna_SFA_25.jpg,by_id/135.jpg
136,Zorua,SFA,31,5,175,660,920,jpg,named/0136_Zorua_SFA_31.jpg,by_id/136.jpg
137,Zoroark,SFA,32,5,176,660,920,jpg,named/0137_Zoroark_SFA_32.jpg,by_id/137.jpg
138,Okidogi ex,SFA,36,5,177,660,920,jpg,named/0138_Okidogi_ex_SFA_36.jpg,by_id/138.jpg
139,Munkidori ex,SFA,37,5,178,660,920,jpg,named/0139_Munkidori_ex_SFA_37.jpg,by_id/139.jpg
140,Fezandipiti ex,SFA,38,5,179,660,920,jpg,named/0140_Fezandipiti_ex_SFA_38.jpg,by_id/140.jpg
141,Pecharunt ex,SFA,39,5,180,660,920,jpg,named/0141_Pecharunt_ex_SFA_39.jpg,by_id/141.jpg
142,Genesect,SFA,40,5,181,660,920,jpg,named/0142_Genesect_SFA_40.jpg,by_id/142.jpg
143,Varoom,SFA,43,5,182,660,920,jpg,named/0143_Varoom_SFA_43.jpg,by_id/143.jpg
144,Kyurem,SFA,47,5,183,660,920,jpg,named/0144_Kyurem_SFA_47.jpg,by_id/144.jpg
145,Eevee,SFA,50,5,184,660,920,jpg,named/0145_Eevee_SFA_50.jpg,by_id/145.jpg
146,Lileep,SCR,5,5,185,660,920,jpg,named/0146_Lileep_SCR_5.jpg,by_id/146.jpg
147,Cradily,SCR,6,5,186,660,920,jpg,named/0147_Cradily_SCR_6.jpg,by_id/147.jpg
148,Mow Rotom,SCR,8,5,187,660,920,jpg,named/0148_Mow_Rotom_SCR_8.jpg,by_id/148.jpg
149,Applin,SCR,12,5,188,660,920,jpg,named/0149_Applin_SCR_12.jpg,by_id/149.jpg
150,Hydrapple ex,SCR,14,5,189,660,920,jpg,named/0150_Hydrapple_ex_SCR_14.jpg,by_id/150.jpg
151,Scorbunny,SCR,26,5,190,660,920,jpg,named/0151_Scorbunny_SCR_26.jpg,by_id/151.jpg
152,Raboot,SCR,27,5,191,660,920,jpg,named/0152_Raboot_SCR_27.jpg,by_id/152.jpg
153,Cinderace ex,SCR,28,5,192,660,920,jpg,named/0153_Cinderace_ex_SCR_28.jpg,by_id/153.jpg
154,Lapras ex,SCR,32,5,193,660,920,jpg,named/0154_Lapras_ex_SCR_32.jpg,by_id/154.jpg
155,Carracosta,SCR,38,5,194,660,920,jpg,named/0155_Carracosta_SCR_38.jpg,by_id/155.jpg
156,Crabominable,SCR,42,5,195,660,920,jpg,named/0156_Crabominable_SCR_42.jpg,by_id/156.jpg
157,Chewtle,SCR,43,5,196,660,920,jpg,named/0157_Chewtle_SCR_43.jpg,by_id/157.jpg
158,Drednaw,SCR,44,5,197,660,920,jpg,named/0158_Drednaw_SCR_44.jpg,by_id/158.jpg
159,Veluza,SCR,45,5,198,660,920,jpg,named/0159_Veluza_SCR_45.jpg,by_id/159.jpg
160,Joltik,SCR,50,5,199,660,920,jpg,named/0160_Joltik_SCR_50.jpg,by_id/160.jpg
161,Galvantula ex,SCR,51,5,200,660,920,jpg,named/0161_Galvantula_ex_SCR_51.jpg,by_id/161.jpg
162,Slowpoke,SCR,57,5,201,660,920,jpg,named/0162_Slowpoke_SCR_57.jpg,by_id/162.jpg
163,Slowking,SCR,58,5,202,660,920,jpg,named/0163_Slowking_SCR_58.jpg,by_id/163.jpg
164,Comfey,SCR,63,5,203,660,920,jpg,named/0164_Comfey_SCR_63.jpg,by_id/164.jpg
165,Klink,SCR,99,5,204,660,920,jpg,named/0165_Klink_SCR_99.jpg,by_id/165.jpg
166,Klang,SCR,100,6,205,660,920,jpg,named/0166_Klang_SCR_100.jpg,by_id/166.jpg
167,Klinklang,SCR,101,6,206,660,920,jpg,named/0167_Klinklang_SCR_101.jpg,by_id/167.jpg
168,Meltan,SCR,103,6,207,660,920,jpg,named/0168_Meltan_SCR_103.jpg,by_id/168.jpg
169,Duraludon,SCR,106,6,208,660,920,jpg,named/0169_Duraludon_SCR_106.jpg,by_id/169.jpg
170,Archaludon,SCR,107,6,209,660,920,jpg,named/0170_Archaludon_SCR_107.jpg,by_id/170.jpg
171,Raging Bolt,SCR,111,6,210,660,920,jpg,named/0171_Raging_Bolt_SCR_111.jpg,by_id/171.jpg
172,Hoothoot,SCR,114,6,211,660,920,jpg,named/0172_Hoothoot_SCR_114.jpg,by_id/172.jpg
173,Noctowl,SCR,115,6,212,660,920,jpg,named/0173_Noctowl_SCR_115.jpg,by_id/173.jpg
174,Fan Rotom,SCR,118,6,213,660,920,jpg,named/0174_Fan_Rotom_SCR_118.jpg,by_id/174.jpg
175,Bouffalant,SCR,119,6,214,660,920,jpg,named/0175_Bouffalant_SCR_119.jpg,by_id/175.jpg
176,Terapagos ex,SCR,128,6,215,660,920,jpg,named/0176_Terapagos_ex_SCR_128.jpg,by_id/176.jpg
177,Exeggcute,SSP,1,6,216,660,923,jpg,named/0177_Exeggcute_SSP_1.jpg,by_id/177.jpg
178,Zarude,SSP,11,6,217,660,923,jpg,named/0178_Zarude_SSP_11.jpg,by_id/178.jpg
179,Black Kyurem ex,SSP,48,6,218,660,923,jpg,named/0179_Black_Kyurem_ex_SSP_48.jpg,by_id/179.jpg
180,Bruxish,SSP,49,6,219,660,923,jpg,named/0180_Bruxish_SSP_49.jpg,by_id/180.jpg
181,Quaxwell,SSP,51,6,220,660,923,jpg,named/0181_Quaxwell_SSP_51.jpg,by_id/181.jpg
182,Quaquaval,SSP,52,6,221,660,923,jpg,named/0182_Quaquaval_SSP_52.jpg,by_id/182.jpg
183,Smoochum,SSP,75,6,222,660,923,jpg,named/0183_Smoochum_SSP_75.jpg,by_id/183.jpg
184,Latias ex,SSP,76,6,223,660,923,jpg,named/0184_Latias_ex_SSP_76.jpg,by_id/184.jpg
185,Flittle,SSP,94,6,224,660,923,jpg,named/0185_Flittle_SSP_94.jpg,by_id/185.jpg
186,Gimmighoul,SSP,97,6,225,660,923,jpg,named/0186_Gimmighoul_SSP_97.jpg,by_id/186.jpg
187,Trapinch,SSP,104,6,226,660,923,jpg,named/0187_Trapinch_SSP_104.jpg,by_id/187.jpg
188,Vibrava,SSP,105,6,227,660,923,jpg,named/0188_Vibrava_SSP_105.jpg,by_id/188.jpg
189,Flygon ex,SSP,106,6,228,660,923,jpg,named/0189_Flygon_ex_SSP_106.jpg,by_id/189.jpg
190,Archaludon ex,SSP,130,6,229,660,923,jpg,named/0190_Archaludon_ex_SSP_130.jpg,by_id/190.jpg
191,Gholdengo,SSP,131,6,230,660,923,jpg,named/0191_Gholdengo_SSP_131.jpg,by_id/191.jpg
192,Iron Crown,SSP,132,6,231,660,923,jpg,named/0192_Iron_Crown_SSP_132.jpg,by_id/192.jpg
193,Alolan Exeggutor ex,SSP,133,6,232,660,923,jpg,named/0193_Alolan_Exeggutor_ex_SSP_133.jpg,by_id/193.jpg
194,Altaria,SSP,134,6,233,660,923,jpg,named/0194_Altaria_SSP_134.jpg,by_id/194.jpg
195,Dialga,SSP,135,6,234,660,923,jpg,named/0195_Dialga_SSP_135.jpg,by_id/195.jpg
196,Turtonator,SSP,137,6,235,660,923,jpg,named/0196_Turtonator_SSP_137.jpg,by_id/196.jpg
197,Swablu,SSP,148,6,236,660,923,jpg,named/0197_Swablu_SSP_148.jpg,by_id/197.jpg
198,Durant ex,SSP,4,6,237,660,923,jpg,named/0198_Durant_ex_SSP_4.jpg,by_id/198.jpg
199,Scatterbug,SSP,5,7,238,660,923,jpg,named/0199_Scatterbug_SSP_5.jpg,by_id/199.jpg
200,Spewpa,SSP,6,7,239,660,923,jpg,named/0200_Spewpa_SSP_6.jpg,by_id/200.jpg
201,Wo-Chien,SSP,15,7,240,660,923,jpg,named/0201_Wo-Chien_SSP_15.jpg,by_id/201.jpg
202,Victini,SSP,21,7,241,660,923,jpg,named/0202_Victini_SSP_21.jpg,by_id/202.jpg
203,Skeledirge,SSP,31,7,242,660,923,jpg,named/0203_Skeledirge_SSP_31.jpg,by_id/203.jpg
204,Charcadet,SSP,33,7,243,660,923,jpg,named/0204_Charcadet_SSP_33.jpg,by_id/204.jpg
205,Scovillain ex,SSP,37,7,244,660,923,jpg,named/0205_Scovillain_ex_SSP_37.jpg,by_id/205.jpg
206,Feebas,SSP,41,7,245,660,923,jpg,named/0206_Feebas_SSP_41.jpg,by_id/206.jpg
207,Milotic ex,SSP,42,7,246,660,923,jpg,named/0207_Milotic_ex_SSP_42.jpg,by_id/207.jpg
208,Shellos,SSP,46,7,247,660,923,jpg,named/0208_Shellos_SSP_46.jpg,by_id/208.jpg
209,Chien-Pao,SSP,56,7,248,660,923,jpg,named/0209_Chien-Pao_SSP_56.jpg,by_id/209.jpg
210,Pikachu ex,SSP,57,7,249,660,923,jpg,named/0210_Pikachu_ex_SSP_57.jpg,by_id/210.jpg
211,Magneton,SSP,59,7,250,660,923,jpg,named/0211_Magneton_SSP_59.jpg,by_id/211.jpg
212,Rotom,SSP,61,7,251,660,923,jpg,named/0212_Rotom_SSP_61.jpg,by_id/212.jpg
213,Tapu Koko,SSP,65,7,252,660,923,jpg,named/0213_Tapu_Koko_SSP_65.jpg,by_id/213.jpg
214,Togekiss,SSP,72,7,253,660,923,jpg,named/0214_Togekiss_SSP_72.jpg,by_id/214.jpg
215,Uxie,SSP,78,7,254,660,923,jpg,named/0215_Uxie_SSP_78.jpg,by_id/215.jpg
216,Mesprit,SSP,79,7,255,660,923,jpg,named/0216_Mesprit_SSP_79.jpg,by_id/216.jpg
217,Azelf,SSP,80,7,256,660,923,jpg,named/0217_Azelf_SSP_80.jpg,by_id/217.jpg
218,Yamask,SSP,82,7,257,660,923,jpg,named/0218_Yamask_SSP_82.jpg,by_id/218.jpg
219,Cofagrigus,SSP,83,7,258,660,923,jpg,named/0219_Cofagrigus_SSP_83.jpg,by_id/219.jpg
220,Espurr,SSP,84,7,259,660,923,jpg,named/0220_Espurr_SSP_84.jpg,by_id/220.jpg
221,Meowstic,SSP,85,7,260,660,923,jpg,named/0221_Meowstic_SSP_85.jpg,by_id/221.jpg
222,Dedenne,SSP,87,7,261,660,923,jpg,named/0222_Dedenne_SSP_87.jpg,by_id/222.jpg
223,PalossandEX,SSP,91,7,262,660,923,jpg,named/0223_PalossandEX_SSP_91.jpg,by_id/223.jpg
224,Annihilape,SSP,100,7,263,660,923,jpg,named/0224_Annihilape_SSP_100.jpg,by_id/224.jpg
225,Gastrodon,SSP,107,7,264,660,923,jpg,named/0225_Gastrodon_SSP_107.jpg,by_id/225.jpg
226,Koraidon,SSP,116,7,265,660,923,jpg,named/0226_Koraidon_SSP_116.jpg,by_id/226.jpg
227,Deino,SSP,117,7,266,660,923,jpg,named/0227_Deino_SSP_117.jpg,by_id/227.jpg
228,Zweilous,SSP,118,7,267,660,923,jpg,named/0228_Zweilous_SSP_118.jpg,by_id/228.jpg
229,Hydreigon ex,SSP,119,7,268,660,923,jpg,named/0229_Hydreigon_ex_SSP_119.jpg,by_id/229.jpg
230,Pecharunt,SVP,149,7,269,450,629,jpg,named/0230_Pecharunt_SVP_149.jpg,by_id/230.jpg
231,Tatsugiri ex,SSP,142,7,270,660,923,jpg,named/0231_Tatsugiri_ex_SSP_142.jpg,by_id/231.jpg
232,Slaking ex,SSP,147,8,271,660,923,jpg,named/0232_Slaking_ex_SSP_147.jpg,by_id/232.jpg
233,Bouffalant,SSP,151,8,272,660,923,jpg,named/0233_Bouffalant_SSP_151.jpg,by_id/233.jpg
234,Terapagos,SSP,161,8,273,660,923,jpg,named/0234_Terapagos_SSP_161.jpg,by_id/234.jpg
